,sxk9sc,sxk9sd,sxk9s4,sxk9s7,sxkdhz,sxk9uz,sxkdjp,sxkdjp,sxkdjp,sxk9ed,sxk9s4,sxk9sc,sxk9s1,sxkdh7,sxkdhd,sxk9sc,sxk9s7,sxkdhf,sxkdhx,sxk9uy,sxkdhz,sxkdjp,sxk9ut,sxkdh7,sxk9e6,sxk9uz,sxk9e3,sxkdhf,sxk9s4,sxk9ed,sxk9e7,sxkdhx,sxk9ew,sxkdhf,sxk9ec,sxkdhf,sxk9e7,sxkdhz,sxk9e3,sxkdhz,sxk9ek,sxk9sc,sxkdh7,sxkdhx,sxk9s4,sxk9s4,sxkdjp,sxk9ek,sxk9ew,sxk9ek,sxk9ey,sxk9uy,sxkdhd,sxk9ut,sxk9sd,sxk9uz,sxk9s7,sxk9e7,sxk9e3
Beyoğlu İtfaiye İstasyonu,655.5934747771468,641.6839731977248,404.72947060250294,475.06715061633014,1919.79567370266,1392.6846829321348,2053.2261865404384,2053.2261865404384,2053.2261865404384,242.3398207320702,370.3509767841703,655.5934747771468,348.23948483853,1535.1611599163368,1378.1238867089257,655.5934747771468,563.4930462028647,1455.0110376813495,2040.1872739273213,1220.5403427465928,1898.4113171255929,1746.1635283713554,1164.5733319943445,1535.1611599163368,291.466396846916,1371.1084322822483,323.6115657189271,1413.5475031910528,439.99642331456636,258.93149150558736,360.9059581259961,2040.1872739273213,604.8999375691907,1421.7859447037954,253.36660344791244,1401.337324124565,393.0593396485623,1927.4295569411943,309.31184654443695,1863.1253518586009,512.4209585655076,655.5934747771468,1535.1611599163368,1919.79567370266,478.6620961637745,460.6543364116073,1793.9459853897154,914.8185233346619,608.856020609922,495.5896375827131,693.6112230712579,1263.9237574976933,1382.008825375058,1181.2578188192156,641.6839731977248,1363.976344967653,480.21663021663124,393.0593396485623,327.0360811480522
Mecidiyeköy İtfaiye İstasyonu,426.98655999443463,400.3137650028596,177.47043606188237,162.82440425777168,1607.552927344101,1080.4419365735764,1740.9834401818794,1740.9834401818794,1740.9834401818794,207.2151334902891,189.07848940002174,426.98655999443463,182.20396141498065,1222.9184135577777,1065.8811403503669,426.98655999443463,251.25029984430617,1142.768291322791,1727.9445275687622,908.2975963880339,1586.1685707670338,1433.9207820127963,852.3305856357857,1222.9184135577777,269.56900583055375,1058.8656859236899,377.55995069782296,1101.304756832494,176.27215796965464,171.59797732243197,283.5051184777339,1727.9445275687622,345.389046188982,1109.5431983452365,138.05483207882702,1089.094577766006,278.5705445036522,1615.1868105826352,294.3367115700428,1550.8826055000418,290.78882896374483,426.98655999443463,1222.9184135577777,1607.552927344101,169.98277933734735,190.5799753276749,1481.7032390311563,759.771662647832,349.34512922971345,248.27188016199608,403.7979241610833,951.6810111391347,1069.7660790164991,869.0150724606567,400.3137650028596,1051.7335986090945,167.97388385807278,278.5705445036522,317.5882459255317
Beşiktaş İtfaiye İstasyonu,165.97512674081588,183.5122540810315,165.41100446376265,184.40511441926523,1665.4430032232574,1129.2091742942216,1798.8735160610358,1798.8735160610358,1798.8735160610358,476.8816439832039,157.07170218037191,165.97512674081588,179.1368225424673,1280.8084894369342,1123.7712162295234,165.97512674081588,168.1501233697169,1200.6583672019474,1785.8346034479187,966.1876722671906,1644.0586466461903,1491.8108578919528,910.2206615149424,1280.8084894369342,539.2355163234686,1116.7557618028463,609.8950481847542,1159.1948327116504,145.4646867354415,390.4105149203635,553.1716289706487,1785.8346034479187,570.9430040091834,1167.433274224393,266.85411301011845,1146.9846536451626,536.8004624522965,1673.0768864617917,564.0032220629577,1608.7726813791983,516.3427867839463,165.97512674081588,1280.8084894369342,1665.4430032232574,184.13035958464965,166.1225998324824,1539.5933149103128,985.3256204680334,574.8990870499147,473.82583798219747,552.3446850770836,1009.5710870182915,1127.6561548956556,926.9051483398134,183.5122540810315,1109.623674488251,189.55459401956634,536.8004624522965,587.2547564184466
Ortaköy İtfaiye İstasyonu,168.67131442396158,224.2095841714935,493.2197546170317,450.48709659599837,1614.0681243067763,934.40750652669,1747.4986371445548,1747.4986371445548,1747.4986371445548,709.2686234821546,484.8804523336409,168.67131442396158,506.94557269573636,1229.4336105204532,1072.3963373130425,168.67131442396158,390.7364709961741,1139.9872050335034,1734.4597245314376,791.0825895122077,1592.6837677297092,1440.4359789754717,786.2876403040801,1229.4336105204532,771.6224958224193,922.128609501946,879.6134406896884,1107.8199537951696,454.0295101992269,694.1959697679547,756.701457039455,1734.4597245314376,666.9491641918958,1116.0583953079122,594.6628631633876,1095.6097747286817,739.8726094200802,1621.7020075453106,796.3902015619084,1557.3978024627172,719.4149337517294,168.67131442396158,1229.4336105204532,1614.0681243067763,425.5442156669825,418.8742844084883,1488.2184359938317,1188.397767435817,644.5498998621425,676.897984949981,551.0354467597082,814.943934717391,1076.2812759791748,802.9721271289511,224.2095841714935,914.9965221873508,455.6365761962995,739.8726094200802,819.6417359173973
Seyrantepe İtfaiye İstasyonu,899.8405052228499,846.3723991554067,667.4057665051806,635.6783494861869,1383.247224718753,856.136233948229,1516.6777375565314,1516.6777375565314,1516.6777375565314,665.9739461402582,737.050148167107,899.8405052228499,735.3628189559295,998.6127109324296,841.5754377250191,899.8405052228499,725.7652196115496,918.4625886974432,1503.6388249434142,683.9918937626863,1361.8628681416858,1209.6150793874483,628.0248830104382,998.6127109324296,718.299245810704,834.5599832983422,826.2901906779731,876.9990542071462,649.1261031980698,753.1396001780921,680.43726078677,1503.6388249434142,341.8647897984866,885.2374957198889,761.4472773924795,864.7888751406583,663.6084131673952,1390.8811079572872,743.066951550193,1326.5769028746938,526.9045448533037,899.8405052228499,998.6127109324296,1383.247224718753,642.8367245657627,663.4339205560901,1257.3975364058083,988.9140067451226,327.83420134275286,621.9468377759246,355.84700773867166,727.3753085137872,845.4603763911513,644.7093698353092,846.3723991554067,827.427895983747,640.827829086488,663.6084131673952,766.318485905682
İstinye İtfaiye İstasyonu,908.2476158648925,908.6547898596781,884.6647421679272,852.9373251489335,1104.093816343674,248.4624442562879,1237.5243291814525,1237.5243291814525,1237.5243291814525,1094.8825598173391,954.3091238298537,908.2476158648925,952.6217946186761,719.4593025573505,542.2476608183722,908.2476158648925,916.4287062109905,517.0849650528678,1224.4854165683353,221.9457589750695,1082.7094597666069,930.461671012369,249.96419921037744,719.4593025573505,1157.236432157604,260.0982627350023,1265.2273770248728,547.8299200988819,866.3850788608164,1079.8099061031394,1142.3153933746394,1224.4854165683353,865.4820398960409,548.9710531469166,1009.0379465284819,552.4762018028243,1125.4865457552653,1111.7276995822083,1182.004137897093,1047.423494499615,1090.0353862030904,908.2476158648925,719.4593025573505,1104.093816343674,860.0957002285093,880.6928962188367,978.244128030729,1306.5326805712873,843.0827755662876,1062.511921285166,713.1685217641287,212.21048897221075,546.1325994845045,261.2282829024466,908.6547898596781,254.15367022902475,858.0868047492346,1125.4865457552653,1205.255672252582
Sarıyer İtfaiye İstasyonu,1371.4512687376669,1324.118309173897,1139.016530019998,1107.2891130010041,466.2870366921603,491.8352735104755,599.7175495299389,599.7175495299389,599.7175495299389,1349.2343476694107,1208.660911681924,1371.4512687376669,1206.9735824707468,209.2126025787679,204.89312122188204,1371.4512687376669,1197.375983126367,245.0128264253361,586.6786369168217,558.5646789467191,444.90268011509323,292.65489136085586,541.8605236728697,209.2126025787679,1411.5882200096755,461.91853785802823,1519.5791648769443,212.64594114514458,1120.736866712887,1334.1616939552107,1396.6671812267111,586.6786369168217,1087.3520914437354,217.2282871777815,1263.389734380552,200.43576207865672,1379.838333607337,473.9209199306947,1436.3559257491645,409.6167148481012,1311.9054377507846,1371.4512687376669,209.2126025787679,466.2870366921603,1114.44748808058,1135.0446840709074,340.4373483792158,1528.4027321189817,1064.952827113982,1316.8637091372377,935.0385733118233,530.2887991201095,185.82883902194922,525.1760368479987,1324.118309173897,475.5510089738952,1112.4385926013051,1379.838333607337,1459.6074601046535
Şişli İtfaiye İstasyonu,772.420793832264,745.747998840689,543.4368478428312,508.2586380956011,1798.6150958984883,1271.5041051279634,1932.0456087362668,1932.0456087362668,1932.0456087362668,362.0680744359799,569.2634754058757,772.420793832264,562.3889474208346,1413.9805821121652,1256.9433089047543,772.420793832264,584.8279197757493,1333.8304598771783,1919.0066961231496,1099.3597649424216,1777.2307393214212,1624.9829505671837,1043.3927541901733,1413.9805821121652,337.7739259921559,1249.9278544780768,326.6948727092252,1292.3669253868813,521.706391807484,470.8739142261408,260.47227904373176,1919.0066961231496,536.9643249678614,1300.605366899624,513.295088651346,1280.1567463203935,226.18465252809716,1806.2489791370226,316.66360863783495,1741.9447740544292,243.67416398424,772.420793832264,1413.9805821121652,1798.6150958984883,515.4170131751769,536.0142091655043,1672.7654075855437,380.0495265047158,555.9632078731172,255.59537015327544,661.5602467496584,1142.7431796935218,1260.8282475708866,1060.0772410150444,745.747998840689,1242.7957671634815,513.4081176959022,226.18465252809716,329.0786232057145
Hacıosman  İtfaiye İstasyonu,1081.503975244648,1034.171015680877,849.0692365269788,817.3418195079851,687.0197277187594,298.03850244078336,820.450240556538,820.450240556538,820.450240556538,1059.2870541763907,918.7136181889052,1081.503975244648,917.0262889777276,302.3852139324362,145.34794072502538,1081.503975244648,907.4286896333477,222.23509169744983,807.4113279434208,268.6173854536997,665.6353711416923,513.3875823874546,251.91323017985025,302.3852139324362,1121.6409265166556,268.1217667883361,1229.6318713839244,180.77155720715268,830.789573219868,1044.214400462191,1106.719887733691,807.4113279434208,797.4047979507161,189.00999871989538,973.4424408875335,168.56137814066483,1089.8910401143169,694.6536109572938,1146.4086322561445,630.3494058747002,1021.9581442577658,1081.503975244648,302.3852139324362,687.0197277187594,824.5001945875608,845.0973905778883,561.1700394058146,1238.4554386259626,775.0055336209629,1026.9164156442175,645.091279818804,245.20767805354262,149.23287939115767,235.22874335497923,1034.171015680877,281.7542379042031,822.4912991082862,1089.8910401143169,1169.6601666116335
Maden  İtfaiye İstasyonu,1909.8178290279343,1862.4848694641641,1677.3830903102655,1645.6556732912716,229.00188429621252,1030.2018338007426,362.43239713399106,362.43239713399106,362.43239713399106,1887.6009079596777,1747.0274719721915,1909.8178290279343,1745.3401427610142,740.1705803253142,743.2596815121493,1909.8178290279343,1735.7425434166344,783.3793867156032,337.269922419539,1096.9312392369864,294.85356323290574,316.5758362440049,1080.2270839631367,740.1705803253142,1949.9547802999425,1000.2850981482954,2057.9457251672115,751.0125014354119,1659.1034270031544,1872.528254245478,1935.0337415169784,337.269922419539,1625.718651734003,755.5948474680488,1801.7562946708194,738.802322368924,1918.2048938976043,236.63576753474692,1974.7224860394315,259.5675979659137,1850.271998041052,1909.8178290279343,740.1705803253142,229.00188429621252,1652.8140483708473,1673.4112443611748,270.3656206259416,2066.7692924092494,1603.3193874042497,1855.2302694275047,1473.4051336020914,1068.655359410377,724.1953993122164,1063.5425971382656,1862.4848694641641,1013.9175692641624,1650.8051528915726,1918.2048938976043,1997.9740203949204
