GEOHASH,LATITUDE,LONGITUDE,hour,AVERAGE_SPEED,DISTRICT
sxk9vr,41.1300659179688,29.0643310546875,22,35.67741935483871,Sarıyer
sxk9vr,41.1300659179688,29.0643310546875,23,38.38709677419355,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,0,34.241379310344826,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,1,38.72,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,2,42.96153846153846,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,3,39.38461538461539,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,4,47.72727272727273,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,5,41.0,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,6,40.34615384615385,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,7,35.592592592592595,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,8,37.17857142857143,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,9,34.93333333333333,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,10,33.62068965517241,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,11,31.516129032258064,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,12,30.483870967741936,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,13,28.5,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,14,25.89655172413793,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,15,25.27586206896552,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,16,22.448275862068964,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,17,22.967741935483872,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,18,22.64516129032258,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,19,22.387096774193548,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,20,21.032258064516128,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,21,23.0,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,22,24.23333333333333,Sarıyer
sxk9vt,41.1190795898438,29.0753173828125,23,26.285714285714285,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,0,43.83870967741935,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,1,46.3,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,2,49.25925925925926,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,3,46.80769230769231,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,4,43.44827586206897,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,5,40.0,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,6,41.25806451612903,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,7,40.29032258064516,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,8,37.45161290322581,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,9,37.54838709677419,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,10,38.29032258064516,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,11,37.193548387096776,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,12,35.483870967741936,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,13,36.41935483870968,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,14,36.25806451612903,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,15,33.96774193548387,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,16,36.354838709677416,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,17,36.25806451612903,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,18,35.70967741935484,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,19,35.96774193548387,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,20,38.774193548387096,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,21,38.29032258064516,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,22,40.64516129032258,Sarıyer
sxk9vu,41.1135864257813,29.0863037109375,23,40.74193548387097,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,0,39.29032258064516,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,1,42.064516129032256,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,2,41.333333333333336,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,3,41.833333333333336,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,4,53.61538461538461,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,5,40.72413793103448,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,6,42.0,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,7,36.935483870967744,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,8,37.193548387096776,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,9,35.45161290322581,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,10,33.03333333333333,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,11,31.70967741935484,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,12,30.225806451612904,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,13,28.90322580645161,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,14,27.451612903225808,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,15,26.225806451612904,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,16,25.774193548387096,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,17,26.967741935483872,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,18,27.451612903225808,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,19,28.64516129032258,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,20,27.483870967741936,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,21,28.93548387096774,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,22,30.451612903225808,Sarıyer
sxk9vw,41.1245727539063,29.0753173828125,23,34.74193548387097,Sarıyer
sxk9vx,41.1300659179688,29.0753173828125,5,37.0,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,0,77.83870967741936,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,1,74.96774193548387,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,2,73.96774193548387,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,3,76.19354838709677,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,4,75.19354838709677,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,5,72.90322580645162,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,6,72.93548387096774,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,7,60.41935483870968,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,8,57.903225806451616,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,9,61.193548387096776,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,10,65.83870967741936,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,11,66.93548387096774,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,12,69.6774193548387,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,13,73.25806451612904,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,14,71.70967741935483,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,15,72.0,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,16,71.58064516129032,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,17,71.12903225806451,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,18,68.54838709677419,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,19,69.19354838709677,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,20,74.25806451612904,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,21,75.3225806451613,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,22,74.61290322580645,Sarıyer
sxk9y4,41.1026000976563,29.0972900390625,23,75.0,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,0,85.0,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,1,78.76190476190476,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,2,88.0,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,3,79.93333333333334,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,4,88.15384615384616,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,5,76.84615384615384,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,6,78.0,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,7,67.87096774193549,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,8,66.92857142857143,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,9,65.0,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,10,74.3,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,11,76.48275862068965,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,12,78.51851851851852,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,13,77.0,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,14,78.24137931034483,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,15,75.93103448275862,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,16,77.26666666666667,Sarıyer
sxk9y5,41.1080932617188,29.0972900390625,17,73.4,Sarıyer
