,sxkdhz,sxk9u4,sxkdk5,sxk9ee,sxk9ub,sxkdt0,sxkde3,sxkdh5,sxk9g3,sxk9s3,sxk9uv,sxkds3,sxkdmz,sxk9sk,sxkdhf,sxkd5x,sxk9dg,sxkddd,sxkdku,sxk9gb,sxk9us,sxk9tp,sxk9ew,sxkd7z,sxk9u9,sxkdk3,sxk9vr,sxk9gj,sxk9eb,sxkdhd,sxkds8,sxkdsg,sxk9ej,sxk9uk,sxk9g4,sxk9sd,sxkdhj,sxk9ev,sxkd5y,sxk9ur,sxk9e4,sxkdm1,sxkdqj,sxkdhw,sxk9sv,sxk9g9,sxk9ge,sxk9s5,sxkdkd,sxkd5u,sxk9uz,sxk9e8,sxk9v4,sxkdsc,sxk9u2,sxk9e3,sxk9sq,sxkdkp,sxk9e7,sxk9gg,sxkdjp,sxkdse,sxk9s0,sxkdh7,sxk9sn,sxkdt8,sxk9ux,sxk9eq,sxkde1,sxk9vh,sxk9gk,sxkdkt,sxk9sw,sxkdj0,sxk9vm,sxkd7c,sxkdkc,sxkdkk,sxkdt2,sxkde8
Beyoğlu İtfaiye İstasyonu,1916.7447307677362,1066.319570643712,2111.3540714498404,430.55527283171125,972.8440589399862,2411.6201879756222,2355.0408779387176,1554.2043682082735,949.3580949970432,579.1995993227299,1190.6581859467783,2650.1420070208337,2543.4913365934044,630.6226968815422,1481.6503180046147,1882.0331900308577,785.7038661881621,2191.140542069686,2249.372948703814,937.8112328957028,1135.9457201061114,984.7602593124029,630.2237118805998,2257.4217746467234,908.2430163904229,2027.8241788093064,1475.7180087631864,1329.9462920731,233.55555676551887,1401.231024609939,2354.5772060225872,2524.4500098469216,743.6779137165232,1101.3082503121632,1086.6898607621708,713.030693265486,1600.1560630704555,589.8110969262523,1790.230147539029,1369.883465476787,660.1239190319471,2107.809771134306,2501.545897257783,1671.764337362339,868.9160930084042,918.6339098683385,1038.5042263518053,463.7943938474863,2047.3817129813,1603.2548367041122,1405.359779746451,324.1444080575009,1158.963382550685,2430.3998483949936,863.8932763732306,323.9500534620587,680.2115963051159,2297.5547547426672,417.3417036339618,989.7133805086619,1840.1127061127147,2477.9018920094354,521.4298592451131,1561.111714103436,711.8783706719469,2351.4131221838375,1311.2578319930064,696.1552058005205,2328.724315521838,1246.721239946929,1237.8060217232883,2221.090082459136,780.623067909819,1507.2991902776303,1435.6512457546787,1982.8135802173658,2048.4317823527886,2151.1566081815467,2351.4131221838375,2395.7604521503267
Mecidiyeköy İtfaiye İstasyonu,1584.4240544635436,733.998894339519,1779.033395145648,162.7234222552545,640.5233826357929,2079.2995116714296,2120.325630867347,1221.883691904081,714.6428479256723,338.45016649069527,858.337509642586,2317.821330716641,2211.170660289212,298.3020205773492,1149.3296417004224,1549.712513726665,591.6492950852518,1956.4252949983156,1917.0522723996207,605.4905565915097,803.6250438019181,652.4395830082098,355.86816931107717,1925.1010983425308,575.9223400862301,1695.5035025051138,1143.397332458994,1055.5907495035774,314.56920797371686,1068.9103483057465,2022.2565297183946,2192.129333542729,563.4496425510657,768.9875740079698,812.3343181926479,472.2812604334514,1267.835386766263,284.90356066256646,1457.9094712348365,1037.5627891725944,543.8630171358647,1775.4890948301136,2169.2252209535905,1339.4436610581463,536.595416704211,644.2783672988155,764.1486837822823,138.11118832806136,1715.0610366771075,1270.9341603999196,1073.0391034422576,451.2212029730192,826.6427062464927,2098.079172090801,531.5726000690377,378.2232808546126,347.8909200009231,1965.2340784384749,346.0509294691126,657.3927042044689,1507.792029808522,2145.581215705243,425.41322526276605,1228.7910377992434,379.5576943677537,2019.092445879645,978.9371556888135,461.4399587291495,2094.0090684504676,914.4005636427364,963.4504791537654,1888.7694061549425,448.3023916056257,1174.9785139734379,1103.330569450486,1650.4929039131732,1716.111106048596,1818.8359318773537,2019.092445879645,2063.4397758461346
Beşiktaş İtfaiye İstasyonu,1675.053063188342,824.6279030643173,1869.6624038704465,483.03609176099354,718.7054261686657,2169.928520396228,2222.902767348175,1312.512700628879,968.57587567196,103.42331461279677,948.9665183673841,2408.4503394414396,2301.7996690140103,319.6554873014888,1239.9586504252204,1640.3415224514636,864.7545464250845,2187.8501943769497,2007.6812811244192,696.119565316308,894.2540525267164,729.5707194703671,628.9734206509098,2015.7301070673293,666.5513488110281,1786.1325112299123,1234.026341183792,1171.1256106635403,350.9418818310694,1159.5393570305446,2112.885538443193,2282.7583422675275,836.5548938908987,859.616582732768,1055.7337645524597,215.9929975074761,1358.4643954910614,482.4984132575045,1548.538479959635,1128.1917978973925,816.9682684756975,1866.118103554912,2259.854229678389,1430.0726697829448,525.4356482550207,849.6770891721765,879.6835449422454,242.0227979500292,1805.690045401906,1361.5631691247177,1163.6681121670556,650.1117466704322,907.3617017380149,2188.7081808155995,622.2016087938358,649.9173920749902,426.0729635337956,2055.863087163273,666.3635989748516,748.0217129292671,1598.4210385333206,2236.2102244300413,320.5139279508657,1319.420046524042,470.186703092552,2109.721454604444,1069.5661644136117,734.5452100689824,2251.296512316084,1005.0295723675345,1078.9853403137286,1979.398414879741,526.4844351384982,1265.607522698236,1193.9595781752846,1741.1219126379717,1806.7401147733945,1909.4649406021522,2109.721454604444,2154.0687845709326
Ortaköy İtfaiye İstasyonu,1568.5325521605791,802.8318310002143,1763.1418928426835,679.5522627903114,474.33892722701006,2063.408009368465,2116.382256320413,1226.3395737483725,961.5507270416779,359.58696520454026,718.3988927856998,2301.9298284136767,2195.2791579862474,528.1658063429574,1133.438139397458,1533.8210114237006,1048.9832790155888,2167.165892977493,1901.1607700966563,671.5662946550142,715.2153342200085,420.68436979065274,696.0233317550413,1909.2095960395663,432.7957428223478,1679.6120002021494,1003.4587156021078,1150.4413092640839,720.9065724318422,1053.018846002782,2006.3650274154302,2176.2378312397645,1008.7516492527716,838.9322813333115,1048.7086159221776,240.98800834808327,1251.9438844632984,614.5662415574051,1442.017968931872,1107.5074964979362,1001.1970010662018,1759.5975925271491,2153.333718650626,1323.5521587551818,216.54929857530607,828.9927877727199,858.9992435427888,507.77376467178254,1699.169534374143,1340.8788677252612,933.100486585371,1020.0764372712054,639.102601717107,2082.1876697878365,492.6441544550342,913.4201734193215,332.7629233195823,1949.3425761355104,862.8797700041695,727.3374115298105,1491.9005275055576,2129.6897134022784,542.7506468970005,1212.899535496279,421.8409091161782,2003.2009435766806,935.9299426516917,918.7739426594868,2144.776001288322,774.4619467858502,1058.3010389142719,1872.877903851978,278.135061368302,1035.0398971165514,963.3919525935999,1634.6014016102088,1700.2196037456315,1802.9444295743892,2003.2009435766806,2047.5482735431701
Seyrantepe İtfaiye İstasyonu,1340.6417211363669,490.21656101234237,1530.0264603278138,582.3529283049118,684.6359479865478,1766.14966073553,1718.948394459943,863.600197990118,220.93025179797934,801.0084818714973,683.3199625783907,2004.6714797807415,1967.3883269620349,725.0360836784868,905.5473083732452,1121.9319317015843,654.8319737089068,1555.0480585909118,1673.269939072444,187.31666424046054,559.8427104747415,793.4140378504546,338.1900990010096,1611.9512474066314,617.3401048455864,1451.721169177937,968.3797853947988,551.344571989408,911.4316252409975,825.1280149785701,1709.1066787824952,1878.979482606829,467.04306235548665,525.2052406807934,308.0881406784789,865.1003289812776,1024.0530534390857,452.2757462008818,1041.5881667080353,679.2792952586315,765.7018323221074,1531.7067615029368,1925.4428876264142,1095.6613277309698,797.7732365307897,43.41106139658763,259.9025062681132,649.4455728892938,1471.2787033499308,836.8638421588264,845.0396324822985,955.4469371319839,765.7464072442497,1784.9293211549013,551.8931158031254,819.9564648751613,505.07782869623986,1652.0842275025755,747.4463970074495,220.06028643476054,1264.0096964813454,1832.431364769344,928.6581948579187,985.0087044720665,420.0455958671849,1775.3101125524684,735.154822361637,382.5468052885469,1692.6318320430637,739.3830165785411,459.2043016395962,1644.9870728277658,709.4802114322046,993.9947255466683,928.3130223862909,1228.1613628709226,1472.3287727214192,1575.053598550177,1775.3101125524684,1750.2899249102352
İstinye İtfaiye İstasyonu,1067.1295685743457,410.30194853748674,1261.7389092564501,1020.0598753016212,474.4805065190434,1562.0050257822315,1614.97927273418,739.1116795392419,747.0777879183532,999.8442861652962,204.68526720539336,1800.526844827443,1693.8761744000137,923.8718879722855,556.0834961907555,1032.4180278374665,970.461606250673,1750.6320257460104,1399.7577865104229,586.1582782301035,306.1571666754985,580.6246415551542,878.8221164662392,1407.806612453333,393.8153358152093,1178.209016615916,284.03704806892176,911.8075610874539,1110.2674295347967,531.1192584346429,1504.9620438291968,1674.8348476535305,1002.0014209952766,443.0166418286473,834.2356767988529,939.4363441627132,750.5409008770645,832.1645399556753,940.6149853456382,645.5212575275668,1090.3089329544712,1258.1946089409157,1651.930735064393,822.1491751689481,693.4389252450464,728.9644635283247,644.5263044194642,848.2813771830927,1197.7665507879096,880.8177154315342,299.45167046548215,1363.229848336901,274.0475942501137,1580.7846862016029,464.48528201865986,1253.927785930632,600.4622241364876,1447.939592549277,1203.3873825154797,618.9531087078153,990.497543919324,1628.2867298160456,1127.4939991517174,711.4965519100451,670.3460387507604,1501.7979599904472,366.99151074101877,992.7969637682417,1643.373017702089,52.94486422842216,819.6672907376421,1371.4749202657447,576.4320683391862,315.6182295833656,166.05707423719323,1133.198418023975,1198.816620159398,1301.5414459881558,1501.7979599904472,1546.1452899569367
Sarıyer İtfaiye İstasyonu,431.91563004578734,612.2528932142958,636.5610886612906,1263.00345673411,893.9611305989292,936.8272051870724,989.8014521390205,475.21316973900304,949.0287325951623,1265.678711671013,597.8718362499854,1175.349024232284,1058.6622358714549,1189.7063134780021,225.22828400001904,525.1297522456787,1172.4125509274813,1125.4542051508508,774.5799659152632,788.1092229069127,551.8393790068949,1047.9893051890174,1080.7730611430486,782.6287918581735,801.6852248752216,553.0311960207564,497.90011096896274,1106.5762300111003,1376.101855040513,202.24566772132877,879.7842232340375,1049.6570270583713,1203.9523656720855,513.1730619755052,1036.186621475662,1335.737377048036,243.2526252852764,1034.1154846324844,433.3267097538502,540.1740877520594,1292.25987763128,622.9806704123566,1016.7167965358341,147.07170952986965,1101.3088143050586,930.9154082051339,846.4772490962732,1114.1158026888095,572.5887301927496,645.3623645031713,414.900608994022,1629.0642738426188,803.5495495951952,955.6068656064439,872.3551710786721,1500.6069933043589,975.7148767629983,822.7617719541173,1443.7386621742075,813.7217776314615,355.28360539076516,1003.1089092208861,1393.3284246574337,204.20827631825713,884.7158256667007,876.6201393952872,399.86008386897703,1194.7479084450504,1018.1951971069292,710.3095402497693,1014.4359596612883,746.2970996705848,984.3019573991984,511.7635473763435,690.4635076727311,625.9101424321872,563.6026816308396,676.363625392996,876.6201393952872,920.9674693617768
Şişli İtfaiye İstasyonu,1754.028250021664,903.6030898976398,1948.6375907037684,396.1966422768571,1046.6152959656358,2239.065513403306,1946.856536652428,1391.4878874622013,577.7209172920213,746.9252332218458,1096.706491463688,2477.5873324485174,2380.774855847332,704.3939339071918,1318.9338372585426,1712.2982577737916,246.60652372298998,1782.9562007833968,2086.6564679577414,708.1637145122513,973.229239360039,1058.5314963380524,544.4224899335672,2091.742168857629,982.0142534160725,1865.1076980632342,1381.7663142800964,1049.658378217621,645.4922658970748,1238.5145438638667,2182.022531450271,2351.8953352746053,363.2922367696965,938.5917695660906,650.5857855770619,880.756327164602,1437.4395823243833,593.1255316751528,1627.5136667929569,1207.1669847307148,15.276706797438699,1945.093290388234,2338.829416511711,1509.0478566162667,942.6873300340538,638.3459960128592,758.216312496326,575.9568193970283,1884.665232235228,1427.230168231034,1258.4261613675965,627.7444367525927,1179.1329361295468,2257.845173822677,937.6645133988802,373.4050022938895,753.9828333307655,2087.6426123666697,266.2773620435839,844.3857943738097,1677.3962253666425,2305.347217437119,872.6596450398538,1398.3952333573638,785.6496076975965,2188.6966414377653,1148.5413512469343,364.83813650790245,1920.5399742355487,1152.7695454638385,957.5181078678091,2058.3736017130627,854.3943049354687,1407.3812544319667,1341.699551271589,1818.52768894313,1885.7153016067164,1988.440127435474,2188.6966414377653,2143.5877893813504
Hacıosman  İtfaiye İstasyonu,641.2914434753451,337.6609379813578,835.9007841574486,988.4115015011714,619.3691753659912,1136.16690068323,1189.1411476351784,299.098465063138,674.4367773622242,991.0867564380752,323.27988101704784,1374.6887197284416,1268.0380493010125,915.1143582450645,206.1970307122228,606.5799027384655,897.8205956945441,1324.7939006470087,973.9196614114211,513.5172676739743,277.2474237739569,773.3973499560793,806.1811059101105,981.9684873543314,527.0932696422835,752.3708915169143,395.5929413291335,831.9842747781622,1101.5098998075757,125.7777373175476,1079.1239187301953,1248.996722554529,929.3604104391478,238.58110674256736,761.5946662427239,1061.1454218150977,324.70277577806326,759.5235293995462,514.776860246637,265.5821325191216,1017.6679223983427,832.3564838419144,1226.0926099653918,396.31105006994676,826.7168590721205,656.3234529721958,571.8852938633352,839.5238474558716,771.9284256889076,498.72200774129715,238.17759499220264,1354.47231860968,528.9575943622572,1154.9465611026014,597.7632158457342,1226.0150380714206,701.1229215300601,1022.1014674502752,1169.14670694127,539.1298223985234,564.6594188203228,1202.448604717044,1118.7364694244966,285.6584268110439,610.1238704337625,1075.959834891445,125.26812863603914,920.1559532121126,1217.5348926030874,461.11783822537734,739.8440044283504,945.6367951667427,709.7100021662603,409.4563777365143,544.0887626914589,707.3602929249739,772.9784950603973,875.7033208891539,1075.959834891445,1120.307164857935
Maden  İtfaiye İstasyonu,195.15598563637218,1171.6495283808092,495.6163432441244,1822.4000919006235,1453.3577657654423,560.8272336735274,775.3716746442144,950.6637848469679,1508.4253677616755,1825.0753468375262,1157.268471416499,799.3490527187386,597.9451013859418,1749.1029486445161,784.6249191665322,711.0412471060431,1731.8091860939949,939.1064925782437,335.1991034195988,1347.5058580734255,1111.2360141734082,1607.385940355531,1640.1696963095608,641.6840464410074,1361.081860041735,325.7990802418456,1057.2967461354765,1540.9004140984193,1935.4984902070264,761.6423028878422,515.9752046153978,673.6570555448261,1763.3490008385995,1072.5696971420189,1595.5832566421752,1895.1340122145486,696.895724525403,1593.5121197989972,712.7597830851826,1099.5707229185732,1851.6565127977935,242.29532161931985,555.999662050321,582.0873361550682,1660.7054494715726,1490.3120433716472,1405.8738842627865,1673.5124378553228,156.57031549218794,904.0904832178024,974.2972441605356,2188.460909009133,1362.9461847617079,579.6068940928988,1431.7518062451854,2060.0036284708726,1535.1115119295114,564.2775394664361,2003.135297340721,1373.1184127979752,336.6407665367186,719.0829695357859,1952.725059823947,699.5898136305395,1444.112460833214,437.23927689962284,959.2567190354903,1754.1445436115644,803.7654196121231,1269.7061754162833,1573.8325948278023,353.8451508968367,1543.6985925657123,1071.1601825428575,1249.8601428392458,535.0770710479006,43.24953795653997,308.5345806233403,437.23927689962284,662.4832368740956
