,sxk9sc,sxk9sd,sxk9s4,sxk9s7,sxkdhz,sxk9uz,sxkdjp,sxkdjp,sxkdjp,sxk9ed,sxk9s4,sxk9sc,sxk9s1,sxkdh7,sxkdhd,sxk9sc,sxk9s7,sxkdhf,sxkdhx,sxk9uy,sxkdhz,sxkdjp,sxk9ut,sxkdh7,sxk9e6,sxk9uz,sxk9e3,sxkdhf,sxk9s4,sxk9ed,sxk9e7,sxkdhx,sxk9ew,sxkdhf,sxk9ec,sxkdhf,sxk9e7,sxkdhz,sxk9e3,sxkdhz,sxk9ek,sxk9sc,sxkdh7,sxkdhx,sxk9s4,sxk9s4,sxkdjp,sxk9ek,sxk9ew,sxk9ek,sxk9ey,sxk9uy,sxkdhd,sxk9ut,sxk9sd,sxk9uz,sxk9s7,sxk9e7,sxk9e3
Beyoğlu İtfaiye İstasyonu,598.8580859202589,595.4740244890884,349.4565855546941,405.0281823598077,1542.8489075239304,1122.4882055656321,1659.7372722073767,1659.7372722073767,1659.7372722073767,208.45934024221245,320.19150964041,598.8580859202589,303.48296377795884,1192.529086926087,1055.9421970580856,598.8580859202589,473.644740380087,1124.0865851945046,1644.31229208827,969.0621554468457,1523.8907034021524,1390.017014160574,919.1443646800855,1192.529086926087,253.63841687640937,1103.4586444370987,282.7056730121514,1086.4401356866979,378.67404369551355,224.14849919326448,314.09820344003754,1644.31229208827,516.4671412672182,1093.9105254840924,220.4621033340353,1075.397070515246,336.77496636151636,1549.6166920095839,265.46071381876857,1492.6080912854518,435.8063082156387,598.8580859202589,1192.529086926087,1542.8489075239304,410.982933689342,395.95552983234916,1431.421506456571,774.0435693812267,519.0908587947774,420.5943620120116,589.7265267395852,1006.0273025395577,1057.999744134201,933.352822668397,595.4740244890884,1096.9390811031506,409.6975873447773,336.77496636151636,285.7792000280037
Mecidiyeköy İtfaiye İstasyonu,390.97521225354785,377.8355932352574,146.9034388682147,134.07927444863003,1271.8999996127527,851.5392976544546,1388.788364296199,1388.788364296199,1388.788364296199,172.56034668998913,156.3474556537698,390.97521225354785,150.87504533716017,921.5801790149093,784.9932891469078,390.97521225354785,202.69583246890937,853.1376772833272,1373.3633841770923,698.1132475356682,1252.9417954909748,1119.0681062493964,648.1954567689079,921.5801790149093,230.21610060864515,832.5097365259207,326.0442825099077,815.4912277755208,144.63741371994809,145.1248754838925,239.13515117748813,1373.3633841770923,290.5949037113556,822.9616175729154,118.82733105142343,804.4481626040688,226.59838899914158,1278.6677840984062,252.6747678183314,1221.659183374274,241.6492816002456,390.97521225354785,921.5801790149093,1271.8999996127527,140.03402577816422,156.05579255674766,1160.4725985453933,634.9360567498768,293.2186212389148,205.03983633551786,338.79452891408977,735.0783946283802,787.0508362230232,662.4039147572195,377.8355932352574,825.9901731919731,138.74867943359965,226.59838899914158,272.99325402756654
Beşiktaş İtfaiye İstasyonu,174.57605649779242,202.00421970737972,141.86473450645016,158.54762307945273,1331.6089205807793,911.2482186224814,1448.4972852642256,1448.4972852642256,1448.4972852642256,397.7004247890772,136.60595182771348,174.57605649779242,154.2737608664796,981.2890999829361,844.7022101149347,174.57605649779242,150.6202968526661,912.8465982513541,1433.072305145119,757.822168503695,1312.6507164590014,1178.777027217423,707.9043777369347,981.2890999829361,455.3561787077333,892.2186574939476,531.7249131270688,875.2001487435476,125.29155700384268,337.60510634584375,458.7043844769105,1433.072305145119,479.0915015098257,882.6705385409423,229.91264174109745,864.1570835720956,441.8843517979787,1338.3767050664328,477.81484591741946,1281.3681043423007,430.14587939871586,174.57605649779242,981.2890999829361,1331.6089205807793,158.29647828535124,142.5730431406783,1220.18151951342,823.432654548347,481.71521903738494,393.5364341339881,443.53692372310394,794.7873155964071,846.7597571910501,722.1128357252463,202.00421970737972,885.69909416,163.21702806442235,441.8843517979787,498.1333321266546
Ortaköy İtfaiye İstasyonu,189.31230281773998,228.05596748735627,382.5112171931051,357.76070117523153,1328.8329799090034,806.6780418824228,1445.7213445924497,1445.7213445924497,1445.7213445924497,550.2012116262197,440.6584314358503,189.31230281773998,436.42769895220414,978.5131593111599,841.9262694431585,189.31230281773998,344.29214972887905,910.0706575795779,1430.296364473343,674.3385492781433,1309.8747757872254,1176.001086545647,666.4139010293957,978.5131593111599,607.8569655448756,793.5795165268837,703.685147446138,872.4242080717714,368.31884044654964,538.2870830322246,586.2311792359152,1430.296364473343,521.685008898677,879.8945978691661,487.0869166380804,861.3811429003194,569.4111465569835,1335.6007643946568,630.3156327545619,1278.5921636705248,557.6726741577208,189.31230281773998,978.5131593111599,1328.8329799090034,363.71545250476584,379.7372192833493,1217.405578841644,950.9594493073519,503.7354764582257,521.0632288929929,419.7475394843208,696.1481746293432,843.9838165192739,680.6223590177073,228.05596748735627,787.0599531929361,362.4301061602011,569.4111465569835,650.6341189637969
Seyrantepe İtfaiye İstasyonu,745.171448371945,665.158461909114,513.0260265849005,488.2755105670269,1141.5295423056432,721.1688403473453,1258.4179069890895,1258.4179069890895,1258.4179069890895,564.3760230213835,571.1732408276456,745.171448371945,566.9425083439996,791.2097217078003,654.6228318397989,745.171448371945,557.025590883307,722.7672199762183,1242.9929268699827,567.7427902285589,1122.5713381838652,988.697648942287,517.8249994617986,791.2097217078003,614.956541923189,702.1392792188115,710.7847238244514,685.1207704684118,498.833649838345,634.9265822377115,580.2583797215451,1242.9929268699827,292.2250207954418,692.5911602658065,617.6017260298759,674.0777052969598,563.4383470426134,1148.2973267912967,637.4152091328752,1091.2887260671646,452.4456042054015,745.171448371945,791.2097217078003,1141.5295423056432,494.2302618965612,510.2520286751447,1030.1021412382838,798.1405374251951,280.5625121649995,531.7614462846994,307.8505415675968,604.707937321271,656.6803789159143,532.0334574501102,665.158461909114,695.6197158848638,492.9449155519965,563.4383470426134,657.7336953421103
İstinye İtfaiye İstasyonu,855.2385083866518,756.0304814064798,710.3457209709671,685.5952049530937,964.2107630961235,220.30204297292264,1081.0991277795697,1081.0991277795697,1081.0991277795697,878.0357154040819,768.4929352137123,855.2385083866518,764.2622027300663,613.8909424982805,462.53753975153666,855.2385083866518,743.1868944025763,452.41764156862314,1065.6741476604632,191.77024424544547,945.2525589743454,811.378869732767,214.80225496554942,613.8909424982805,935.6914693227378,230.6708298581063,1031.519651224,474.6165477563425,696.1533442244116,866.1215868100865,914.0656830137775,1065.6741476604632,712.6219322688706,480.1689389951448,814.9214204159425,478.77929087551354,897.2456503348458,970.9785475817769,958.1501365324241,913.9699468576448,885.5071779355827,855.2385083866518,613.8909424982805,964.2107630961235,691.5499562826278,707.5717230612113,852.7833620287638,1043.0606324847492,694.6723998284194,848.897732670855,575.8309680903778,184.1905485954049,464.59508682765227,227.47957702389422,756.0304814064798,225.36249884569833,690.2646099380632,897.2456503348458,978.4686227416591
Sarıyer İtfaiye İstasyonu,1100.2193867693122,1020.2064003064813,868.0739649822677,843.3234489643943,420.7594333648451,415.4014935653508,537.6477980482913,537.6477980482913,537.6477980482913,1035.7639594153825,926.2211792250129,1100.2193867693122,921.9904467413669,184.22250246890363,183.22966805953075,1100.2193867693122,912.0735292806743,220.50111191317683,522.2228179291848,468.0401860737128,401.80122924306716,267.9275400014887,451.558523035759,184.22250246890363,1093.4197133340388,388.77790057780885,1189.2478952353008,190.57651077881007,853.8815882357122,1023.8498308213871,1071.7939270250783,522.2228179291848,870.3501762801712,195.38971490370324,972.6496644272431,179.5334456073581,1054.9738943461464,427.5272178504985,1115.8783805437247,370.51861712636656,1043.2354219468832,1100.2193867693122,184.22250246890363,420.7594333648451,849.2782002939284,865.2999670725119,309.3320322974855,1200.7888764960496,852.40064383972,1006.6259766821556,733.5592121016784,450.8216521690749,166.9518703514998,437.3500650474474,1020.2064003064813,400.8686592434797,847.9928539493638,1054.9738943461464,1136.1968667529597
Şişli İtfaiye İstasyonu,670.3594641587333,657.2198451404425,440.8801813692024,413.46352635381515,1452.8013230390943,1032.4406210807963,1569.6896877225406,1569.6896877225406,1569.6896877225406,304.72283536285323,462.1070096317522,670.3594641587333,456.63459931514257,1102.4815024412508,965.8946125732494,670.3594641587333,469.45536281396437,1034.0390007096687,1554.2647076034339,879.0145709620098,1433.8431189173164,1299.969429675738,829.0967801952495,1102.4815024412508,286.30667997032623,1013.4110599522623,274.220177238423,996.3925512018624,424.02166562513327,392.8346625815709,218.36963724418422,1554.2647076034339,452.7320247257737,1003.862940999257,422.89004907251905,985.3494860304104,189.13285339424368,1459.5691075247478,263.09408308916505,1402.5605068006157,209.49997992419736,670.3594641587333,1102.4815024412508,1452.8013230390943,419.41827768334946,435.4400444619329,1341.373921971735,319.03795568055733,462.3869139027745,211.6133919238621,552.471557134661,915.9797180547218,967.9521596493648,843.3052381835611,657.2198451404425,1006.8914966183147,418.1329313387847,189.13285339424368,274.8703233134004
Hacıosman  İtfaiye İstasyonu,854.0346976003113,774.0217111374802,621.8892758132667,597.1387597953933,602.8545073057116,240.75238977750197,719.7428719891577,719.7428719891577,719.7428719891577,789.5792702463815,680.0364900560119,854.0346976003113,675.8057575723658,252.53468670786864,115.94779683986705,854.0346976003113,665.8888401116733,184.09218497628646,704.3178918700512,221.85549690471203,583.8963031839336,450.0226139423553,205.3738338667582,252.53468670786864,847.2350241650374,214.12879678995995,943.0632060662998,146.4457354684799,607.6968990667112,777.6651416523861,825.6092378560771,704.3178918700512,624.1654871111705,153.91612526587454,726.4649752582421,135.40267029702792,808.7892051771454,609.622291791365,869.6936913747237,552.6136910672329,797.0507327778823,854.0346976003113,252.53468670786864,602.8545073057116,603.0935111249274,619.1152779035109,491.4271062383521,954.6041873270492,606.2159546707193,760.4412875131546,487.37452293267773,217.78729016556332,118.00534391598262,191.16537587844664,774.0217111374802,226.21955545563077,601.8081647803629,808.7892051771454,890.0121775839588
Maden  İtfaiye İstasyonu,1591.1868460168987,1511.1738595540687,1359.0414242298548,1334.2909082119816,211.07663136104833,906.3689528129376,327.9649960444945,327.9649960444945,327.9649960444945,1526.7314186629696,1417.1886384725997,1591.1868460168987,1412.9579059889538,667.910544485177,674.1971273071176,1591.1868460168987,1403.040988528262,711.4685711607638,300.11994167901486,959.0076453212997,269.94266444526033,289.7259254221803,942.5259822833459,667.910544485177,1584.387172581626,879.7453598253956,1680.215354482888,681.543970026397,1344.8490474832997,1514.8172900689747,1562.7613862726657,300.11994167901486,1361.3176355277585,686.3571741512902,1463.61712367483,670.500904854945,1545.9413535937338,217.8444158467017,1606.8458397913118,238.66005232855974,1534.2028811944706,1591.1868460168987,667.910544485177,211.07663136104833,1340.2456595415158,1356.267426320099,250.20004620308188,1691.7563357436363,1343.3681030873072,1497.5934359297428,1224.5266713492656,941.789111416662,657.9193295990868,928.3175242950343,1511.1738595540687,891.8361184910665,1338.9603131969511,1545.9413535937338,1627.164326000547
