,sxkdhz,sxk9u4,sxkdk5,sxk9ee,sxk9ub,sxkdt0,sxkde3,sxkdh5,sxk9g3,sxk9s3,sxk9uv,sxkds3,sxkdmz,sxk9sk,sxkdhf,sxkd5x,sxk9dg,sxkddd,sxkdku,sxk9gb,sxk9us,sxk9tp,sxk9ew,sxkd7z,sxk9u9,sxkdk3,sxk9vr,sxk9gj,sxk9eb,sxkdhd,sxkds8,sxkdsg,sxk9ej,sxk9uk,sxk9g4,sxk9sd,sxkdhj,sxk9ev,sxkd5y,sxk9ur,sxk9e4,sxkdm1,sxkdqj,sxkdhw,sxk9sv,sxk9g9,sxk9ge,sxk9s5,sxkdkd,sxkd5u,sxk9uz,sxk9e8,sxk9v4,sxkdsc,sxk9u2,sxk9e3,sxk9sq,sxkdkp,sxk9e7,sxk9gg,sxkdjp,sxkdse,sxk9s0,sxkdh7,sxk9sn,sxkdt8,sxk9ux,sxk9eq,sxkde1,sxk9vh,sxk9gk,sxkdkt,sxk9sw,sxkdj0,sxk9vm,sxkd7c,sxkdkc,sxkdkk,sxkdt2,sxkde8
Beyoğlu İtfaiye İstasyonu,1505.8588736174056,796.7275315481393,1726.6178832147427,314.23460888482674,761.6582198361737,1981.5698854738625,2115.364939395079,1198.6412040793396,743.1045013732364,454.07787432958105,954.5136979500393,2213.5067336728575,2102.6933492801486,484.4599983918385,1113.384226135684,1498.1495595517358,634.62557372171,2200.8328019168744,1830.6393682998723,709.4262563022347,853.2459864957059,775.8638155295743,514.6352940175673,1884.5902936695886,716.9365805728706,1642.9206749320515,1211.4838993741605,1116.5670519249497,183.99050104960833,1041.5572291268998,1935.2474203092527,2086.895377892614,593.4867129287343,822.4927330926529,881.7875773584755,595.4740244890884,1229.5311633669503,480.5228723047322,1427.4987922993605,1009.4543002158252,521.6963124294016,1682.2302237090307,2055.0864512418316,1335.4670206618111,661.4107750685855,761.3015609411701,845.3022571479512,372.13768009991117,1655.1694816819722,1242.27001197635,1101.9979239451643,252.44660023530113,927.7686564785587,1995.1515448345685,675.9890624617709,279.8224758276899,522.5508908132189,1925.7278857815015,350.8115995021617,747.246499983098,1436.0317762369289,2111.3582037496953,421.3476141196966,1195.58671566764,537.6022069258712,1940.293581746992,984.2170929185859,536.88787309514,2146.5718059757637,997.4681450710387,1031.98525830206,1787.934285287942,598.3661251355978,1236.6814644552844,1159.9104251524197,1592.3756766640322,1624.8436787101,1742.4342347224622,1940.293581746992,2032.545979549756
Mecidiyeköy İtfaiye İstasyonu,1234.909965706228,525.7786236369617,1455.6689753035641,121.8826556075518,490.70931192499626,1710.620977562684,1844.4160314839003,927.6922961681622,548.9474747578428,236.43944307574998,683.5647900388617,1942.5578257616787,1831.7444413689707,213.5110904806608,842.4353182245067,1227.2006516405581,459.05324008124063,1991.2627429168601,1559.6904603886937,438.47734839105726,582.2970785845283,504.9149076183966,288.76305646170465,1613.64138575841,445.98767266169216,1371.971767020873,940.5349914629829,846.5676192979438,272.6581379048375,770.608321215722,1664.298512398074,1815.946469981435,428.23020787788965,551.5438251814754,655.9153398026125,377.8355932352574,958.5822554557716,229.59087447923653,1156.549884388182,738.5053923046478,411.5197350670268,1411.281315797853,1784.1375433306537,1064.518112750632,390.46186715740805,535.4293233853074,575.3028245209453,103.50588747743531,1384.2205737707936,971.3211040651723,831.0490160339871,374.34685776984577,656.8197485673813,1724.20263692339,405.0401545505929,311.0271714341362,251.6019829020411,1654.778977870323,271.4693662837516,476.29759207192075,1165.0828683257512,1840.4092958385168,339.8832198604201,924.6378077564617,266.6532990146935,1669.3446738358134,713.2681850074082,342.73084647974696,1875.6228980645853,726.5192371598612,761.9858256750541,1516.9853773767634,327.4172172244203,965.7325565441073,888.9615172412421,1321.4267687528547,1353.8947707989223,1471.4853268112836,1669.3446738358134,1761.5970716385775
Beşiktaş İtfaiye İstasyonu,1294.6188866742546,585.4875446049887,1515.3778962715912,347.02273370663994,547.8134437787744,1770.329898530711,1904.1249524519274,987.4012171361891,702.6935903906484,78.0358745789613,743.2737110068886,2002.2667467297058,1891.4533623369973,229.14924221860375,902.1442391925335,1286.9095726085852,647.5498378797107,2050.971663884887,1619.3993813567208,498.1862693590841,642.0059995525552,562.0190394721747,477.25965426017484,1673.350306726437,505.12831245462286,1431.6806879889,1000.2439124310098,906.2765402659705,269.6562300616949,830.3172421837488,1724.0074333661012,1875.6553909494621,616.72680567636,611.2527461495023,775.0650463003971,202.00421970737972,1018.2911764237984,370.67713115206243,1216.2588053562085,798.2143132726746,605.9502928844192,1470.9902367658797,1843.8464642986803,1124.2270337186596,447.56599901118614,629.7933734230589,635.011745488972,171.5705432535976,1443.9294947388207,1031.0300250331993,890.7579370020139,505.9494464481611,713.9238804211592,1783.911557891417,464.7490755186198,528.8417159426075,308.70611475581944,1714.48789883835,486.7553290825887,536.0065130399477,1224.7917892937778,1900.1182168065438,274.133870012699,984.3467287244886,326.3622199827205,1729.0535948038405,772.977105975435,531.2274442782171,1935.3318190326124,786.228158127888,821.6947466430809,1576.6942983447905,384.52134907819845,1025.4414775121343,948.6704382092689,1381.1356897208816,1413.603691766949,1531.1942477793107,1729.0535948038405,1821.3059926066046
Ortaköy İtfaiye İstasyonu,1291.8429460024786,582.7116039332125,1512.6019555998153,482.8648470713153,392.153877957381,1767.553957858935,1901.3490117801514,984.6252764644129,699.9176497188722,337.4278683917487,619.1002884347657,1999.4908060579298,1888.6774216652213,367.56601425168316,899.3682985207573,1284.1336319368088,775.0766326387155,2048.1957232131113,1616.6234406849449,492.9192231253294,600.5155228450161,388.67765589784597,537.1645974891773,1670.5743660546611,350.2370689873355,1428.904747317124,876.070489858887,903.5005995941943,573.7087096698317,827.5413015119726,1721.2314926943252,1872.8794502776861,744.2536004353649,608.4768054777261,772.2891056286209,228.05596748735627,1015.5152357520222,451.3022836274553,1213.4828646844326,795.4383726008984,733.4770876434244,1468.2142960941037,1841.0705236269043,1121.4510930468832,211.21265950111913,627.0174327512827,632.2358048171958,360.13104734681207,1441.1535540670448,1028.254084361423,797.0355624580466,756.7465058844529,547.5898541252039,1781.135617219641,372.4040712373369,688.6680363703666,232.59704625789024,1711.711958166574,614.2821238415935,533.2305723681715,1222.0158486220018,1897.3422761347679,500.2607258299916,981.5707880527124,302.57283574393733,1726.2776541320645,770.2011653036589,658.7542390372221,1932.5558783608365,662.0547355557652,818.9188059713047,1573.9183576730145,211.7769056354751,902.2304982685288,824.4970156371461,1378.3597490491054,1410.827751095173,1528.4183071075347,1726.2776541320645,1818.5300519348286
Seyrantepe İtfaiye İstasyonu,1104.5395083991184,361.63792334296886,1321.1294323551317,487.41626094117004,565.9673900948809,1574.189326104838,1649.5982970428638,685.8744537182696,165.09129809572426,590.635679194147,553.1943327317529,1806.1261743038328,1701.3739840618612,540.9212252378759,712.0648609173977,936.844233115419,515.5570575655526,1700.1071010524204,1429.3200030815847,156.64215814287255,451.926621277419,652.9889184791696,288.062270941034,1418.8236513173733,495.1462680166242,1241.6013097137638,810.164534155874,472.2422285719471,704.223519061627,640.237863908613,1516.3864237048417,1679.5148185235892,380.4677596263254,406.76195582235425,237.46275400547293,665.158461909114,828.2117981486626,389.8617168432164,867.1073310157415,496.68754985475505,613.5161035703763,1280.9108584907435,1653.7670860235442,934.1476554435233,619.7672180821402,38.343990129641725,200.9774337949487,490.64585673860745,1253.8501164636846,680.9646855400327,700.6785587268781,774.1789397568626,630.5802563818061,1587.770985465544,441.32407804225255,695.76761274868,403.01518947758467,1459.9612434292862,608.3093243272234,172.97097203387298,1034.7124110186417,1645.59156139748,709.9792976479902,794.2673504493528,329.07626793307776,1538.9742165287043,582.8977277002992,308.79559680015103,1680.8051636235489,596.1487798527521,387.6604349490574,1386.6149200696543,556.7225681491525,835.362099236998,758.591059934133,1031.0703502277154,1223.5243134918128,1341.1148695041745,1538.9742165287043,1566.7793371975408
İstinye İtfaiye İstasyonu,927.2207291895988,323.5289655909021,1147.9797387869355,810.6993508491776,372.8804309731714,1402.9317410460553,1536.7267949672716,649.6309065453505,569.124339333853,787.9553735802136,167.4081927448249,1634.86858924505,1524.0552048523407,738.2409196239425,479.8187094965881,929.4852013956863,760.4771526251067,1683.5735064002315,1252.001223872065,471.61201487638215,252.79526931789593,457.55934677801486,728.1015208593709,1305.9521492417812,357.3107896684111,1064.2825305042443,251.62946654183156,744.5565109941946,901.5432134476937,448.15257182035083,1356.6092758814455,1508.2572334648064,781.1240348766995,344.76912885942806,641.4957952436016,756.0304814064798,650.8930189391428,661.3617216746851,848.860647871553,525.3452771548491,858.4361986299307,1103.592079281223,1476.4483068140237,756.8288762340035,569.0610490592853,595.786971696877,501.4424944321766,687.965551124674,1076.5313372541648,760.0764083765999,258.0888873775227,1084.581009662315,216.4349267757065,1416.5134004067613,405.1017207682034,1016.5025401482288,515.618927474685,1347.089741353694,942.1166276194558,465.6107531549601,857.3936318091216,1532.720059321888,907.2989920340568,616.948571239833,526.3959623191445,1361.6554373191848,318.19932559280306,774.7285806193618,1567.9336615479567,40.679574302179795,659.9747173713049,1209.2961408601348,516.999635159159,280.21646530765406,144.6375875720335,1019.0517520390721,1046.2055342822928,1163.796090294655,1361.6554373191848,1453.9078351219487
Sarıyer İtfaiye İstasyonu,383.7693994583205,481.25720960220264,667.0360277702437,968.4275948604782,761.930418080032,921.9880300293634,1055.78308395058,448.1464555178708,726.8525833451537,945.6836175915142,516.0456623506617,1153.9248782283582,980.6038751210626,895.9691636352431,209.79875285435634,499.81676136630944,918.2053966364073,1202.6297953835397,771.0575128553737,629.3402588876828,450.49808843872626,861.0786930265921,885.8297648706715,825.0084382250895,666.4060311125276,583.338819487553,468.4302390978999,898.2829801464621,1059.2714574589947,192.20130384282373,875.6655648647533,1027.3135224481143,938.8522788880001,412.287385565582,799.2240392549023,1020.2064003064813,221.22457890976608,819.0899656859858,419.19220784217634,433.08098852561307,1016.1644426412313,560.1407495499451,932.9969770827456,182.24518026432196,915.5293995303664,753.5152157081775,659.1707384434773,845.6937951359746,595.5876262374735,611.7667458982821,361.35984305839247,1242.3092536736153,660.8147284622332,935.5696893900694,714.1969622123198,1174.2307841595293,758.0631278749519,866.1460303370025,1099.8448716307566,619.3372223072278,313.9423020778434,1051.776348305196,1065.0272360453573,187.2801312104561,684.1242063304451,880.7117263024936,353.03140376535555,932.4568246306625,1086.989950531265,613.7474426739665,813.7011865235725,728.3524298434437,826.0948766032752,474.70011319004266,627.6154413546138,589.3833120096955,502.7542045510145,682.8523792779633,880.7117263024936,972.964124105257
Şişli İtfaiye İstasyonu,1415.8112891325695,706.6799470633033,1636.5702987299067,286.9417736279876,763.6482882550373,1891.5223009890265,2025.3173549102428,1108.5936195945035,473.4169083754874,515.8236949809353,864.4661134652033,2123.4591491880215,2012.6457647953123,486.45006681070214,1023.3366416508483,1408.1019750668997,203.59800830445602,1898.2251255136478,1740.5917838150363,604.2422990689116,763.1984020108699,777.8538839484379,435.3107809248826,1794.5427091847525,718.9266489917344,1552.8730904472154,1121.4363148893246,888.9598915612781,517.4450412314338,951.5096446420636,1845.1998358244166,1996.8477934077775,295.2726573506589,732.4451486078168,536.0168838174201,657.2198451404425,1139.483578882114,447.7414961528996,1337.451207814524,919.4067157309893,12.191987155648194,1592.1826392241946,1965.0388667569953,1245.4194361769746,663.4008434874492,533.6944005774988,617.6950967842796,401.89545895173455,1565.1218971971361,1152.2224274915138,1011.9503394603287,479.18349067702775,929.7587248974223,1905.1039603497325,677.9791308806346,273.9532315713269,524.5409592320824,1835.6803012966654,194.71546923477197,696.8420189352897,1345.9841917520928,2021.3106192648593,637.8334524322922,1105.5391311828037,539.5922753447348,1850.245997262156,894.1695084337498,306.3097260488756,2048.260903320593,907.4205605862028,804.3780979383885,1697.886700803106,600.3561935544615,1146.6338799704486,1069.862840667584,1502.3280921791961,1534.796094225264,1652.386650237626,1850.245997262156,1942.49839506492
Hacıosman  İtfaiye İstasyonu,565.864473399187,235.0725204332018,786.6234829965234,722.2429056914772,515.7457289110316,1041.5754852556431,1175.3705391768597,273.99273055833464,480.66789417615263,699.4989284225132,269.860973181661,1273.5123334546379,1162.6989490619292,649.7844744662422,173.38982591746597,568.1289456052746,672.0207074674064,1322.2172506098195,890.6449680816535,383.1555697186818,204.31339926972532,614.8940038575912,639.6450757016707,944.5958934513693,420.2213419435269,702.9262747138328,332.9373319162913,652.0982909774615,813.0867682899933,101.56282890868121,995.253020091033,1146.9009776743942,692.6675897189991,166.10269639658114,553.0393500859012,774.0217111374802,289.5367631487311,572.9052765169848,487.5043920811413,186.89629935661222,769.9797534722304,742.2358234908116,1115.0920510236122,395.4726204435922,669.3447103613659,507.33052653917645,412.98604927447633,599.5091059669736,715.1750814637533,421.62743057836303,186.71073927054348,996.1245645046146,414.6300392932328,1055.1571446163491,468.0122730433192,928.0460949905284,511.87843870595094,985.7334855632822,853.6601824617554,373.152533138227,496.03737601871,1171.3638035314762,818.8425468763564,255.5923154494211,437.93951716144403,1000.2991815287735,106.84671459635464,686.2721354616613,1206.5774057575447,380.19856276417846,567.5164973545718,847.9398850697235,579.9101874342746,339.207206008434,452.9663375667654,657.6954962486603,684.8492784918806,802.4398345042431,1000.2991815287735,1092.551579331537
Maden  İtfaiye İstasyonu,178.1228811177847,972.2246688497896,437.66026689956317,1459.3950541080653,1252.8978773276194,498.815716611881,728.8288866169447,858.3241661663409,1217.8200425927403,1436.6510768391015,1007.0131215982487,730.752564810876,566.8936342984192,1386.9366228828294,700.7662121019432,641.4269780313481,1409.1728558839939,907.0008053609787,293.5622645377801,1120.3077181352696,941.4655476863131,1352.0461522741798,1376.7972241182588,589.6555263256204,1157.3734903601144,287.9298093008437,959.3976983454866,1389.2504393940487,1550.2389167065812,683.1687630904106,452.49325144727095,604.1412090306319,1429.819738135587,903.254844813169,1290.191498502489,1511.1738595540687,648.2058276496208,1310.0574249335732,640.9137932422052,924.0484477732002,1507.1319018888178,212.92903471209382,519.2867362601023,548.4908751173862,1406.4968587779533,1244.4826749557647,1150.138197691064,1336.6612543835618,135.14842914423448,814.5852705452647,852.3273023059792,1733.2767129212025,1151.7821877098206,512.397375972587,1205.1644214599069,1665.1982434071165,1249.030587122539,503.77103422275553,1590.812330878344,1110.3046815548144,299.2374735541193,671.0253546226422,1555.9946952929445,648.9908532548897,1175.0916655780322,403.21647798490005,843.9988630129425,1423.4242838782498,760.0357531976294,1104.7149019215533,1304.6686457711587,278.64015408780267,1317.0623358508624,965.6675724376291,1118.582900602201,485.7783453513227,40.58422559368443,259.6800658604809,403.21647798490005,610.5891279910102
